x1,x2,x3,y
0.964990181,4.04632,1.026571301,1
1.109109254,4.626574189,1.153846386,1
1.079755007,4.690797487,1.159950893,1
0.945164653,5.041556022,1.230073145,1
0.825137914,5.808349921,1.187176479,1
1.061084556,6.029524587,1.207110493,1
1.075357538,4.917074381,1.162509407,1
0.965389822,5.341859287,1.213426415,1
0.949870444,5.016673596,1.16591699,1
0.93741267,4.873800008,1.27036713,1
0.927109185,5.19717705,1.304305371,1
0.957288474,4.97072912,1.21437499,1
0.993518392,4.707840291,1.190009475,1
0.979945539,4.908397782,1.18182049,1
0.934881425,4.849417052,1.206121311,1
0.931724145,4.497349723,1.223249464,1
1.047783665,5.083741373,1.175249168,1
1.076974851,5.017986215,1.207571339,1
1.017700035,5.066444401,1.228156104,1
0.962530937,4.747910788,1.161161861,1
1.161450895,5.589341613,1.208575231,1
1.217527175,5.465782682,1.187648359,1
1.090974238,5.090858158,1.187109516,1
1.187891161,4.666354883,1.168392775,1
0.842066022,4.629342345,1.129465973,1
1.132075202,4.414541024,1.191733559,1
1.168527338,4.492149422,1.171965,1
1.009534097,5.435894418,1.146988964,1
1.008184238,5.09446845,1.223041142,1
1.053381346,4.927160026,1.204713686,1
0.884266921,4.943562815,1.214682751,1
0.873441111,6.36828692,1.094411382,1
0.995305788,4.4659257,1.145701635,1
0.852519144,4.783332725,1.172879992,1
0.855294888,4.997327643,1.142199868,1
0.939843417,6.511707596,1.177615324,1
1.013911683,5.749686514,1.131023993,1
1.010573581,4.325660087,1.032557835,1
0.773572211,4.561103875,1.125477965,1
0.814381334,5.101896629,1.057976854,1
0.675098183,4.802924533,1.101071527,1
0.76723472,5.439979036,1.075863031,1
0.830908115,4.666419764,1.140773501,1
0.683094881,4.04632,0.980137008,1
0.872757936,4.799068321,1.150025019,1
0.910960777,5.107802997,1.140249978,1
0.905849007,4.245050519,1.116031014,1
1.003512453,4.276310005,1.148686493,1
1.002545086,5.128273348,1.143993879,1
0.970411486,5.051020981,1.203999886,1
0.861996614,5.275416384,1.020479586,1
0.965398946,4.765152476,1.169798669,1
0.818848746,5.059795926,1.150948001,1
1.033458522,4.880579322,1.177594313,1
1.122637174,4.857438197,1.262502069,1
0.972556556,4.825196849,1.083251721,1
0.847905794,4.380176152,1.183832795,1
0.907013094,4.727504721,1.142732386,1
0.948545013,4.248636,1.079431849,1
0.890340405,4.500042079,1.116622774,1
1.007163562,4.773069417,1.103379816,1
0.922537951,4.277770533,1.163245271,1
0.985855451,4.71673621,1.154520009,1
0.858099556,4.04632,1.078327554,1
0.881247088,5.642048854,1.150780973,1
0.889625289,4.564194423,1.172260689,1
1.012960986,4.04632,1.078566948,1
0.764334119,4.225097656,1.063228895,1
0.983614042,4.321049057,1.104914663,1
0.858800097,4.462558233,1.161192818,1
1.066193191,4.169628696,1.185936267,1
0.863706816,4.489288895,1.180861624,1
0.81401857,4.113361621,1.108189033,1
0.76001113,4.158056035,1.06661712,1
0.914257776,4.142093744,1.067219515,1
1.06341623,4.04632,1.054659428,1
1.170349715,4.213924052,0.978893319,1
0.85464888,4.442982924,1.056633998,1
0.788653386,4.439258389,1.158950475,1
0.705291747,4.15007489,1.11926927,1
0.815574612,4.094206872,1.14215135,1
0.858607538,4.726309561,1.061769077,1
0.98800335,4.287148044,1.042305241,1
0.971144995,4.736989824,1.092943983,1
1.028752764,5.346991428,1.103115704,1
0.856818857,4.564572236,1.207548087,1
0.83823831,5.681903958,1.16014051,1
0.770411978,4.722158561,1.078470466,1
1.240539335,5.89790549,1.039982252,1
0.908142983,4.616173778,1.052880555,1
0.825855936,4.381528105,1.143269868,1
0.920600033,4.428499398,1.065736366,1
1.004641499,4.952062533,1.197149975,1
1.033631029,4.772604227,1.062606744,1
0.850702836,4.392701708,1.112945432,1
0.885059587,4.560305761,1.022427732,1
0.87859946,5.349595882,1.021525529,1
1.047358178,4.659366022,1.17589861,1
0.802950415,5.079878323,1.09928232,1
0.959115458,5.014260434,1.09299519,1
0.975397057,4.850819451,1.132320251,1
0.840066524,5.065634106,1.201358598,1
0.815780689,4.577066166,1.123417919,1
0.812574046,4.928849868,1.110820529,1
0.903439788,5.062789016,1.140827018,1
1.045937763,6.16500818,1.118749508,1
0.902578524,4.856077352,1.123547351,1
0.741460233,4.842028122,1.09832379,1
1.098188034,4.297726079,1.101015883,1
0.923795649,4.960219674,1.212601589,1
1.057895442,4.574868442,1.287514611,1
1.126730789,4.713113263,1.204262275,1
0.918507227,4.829817425,1.160883873,1
0.956637667,4.536804771,1.188651597,1
1.007959214,4.554583258,1.121924796,1
0.930239239,4.656342861,1.162701756,1
0.796136676,4.312624217,1.049691853,1
0.900165821,4.685994719,1.103161717,1
1.021810507,4.781260595,1.195492386,1
1.127275934,5.24292226,1.186770023,1
0.905378142,4.04632,1.21131181,1
1.000801961,4.76761862,1.194674031,1
0.908841119,5.100444735,1.115388338,1
0.873897655,4.352261223,1.232322258,1
0.923449287,4.885531399,1.152907188,1
0.818621744,4.492673143,1.229307766,1
0.884651874,4.299199521,1.173972336,1
0.759341781,5.131513744,1.156533309,1
0.869065827,4.254458133,1.225129631,1
0.847432228,4.227891057,1.146921548,1
0.965519759,4.696378925,1.171807796,1
0.913777826,4.04632,1.230152417,1
0.959642876,4.575469937,1.108780828,1
1.009105035,5.260419437,1.176705234,1
1.071854424,4.71673621,1.134267547,1
1.032057148,5.085968584,1.207446305,1
0.823770729,4.353594096,1.182844862,1
0.970923459,4.547136871,1.225410436,1
0.991661439,4.463334845,1.213498573,1
0.892222364,4.871292322,1.155847874,1
0.909414226,5.261038253,1.127251346,1
1.12320649,6.329684325,1.247439512,1
1.102301861,5.087727919,1.283342104,1
0.770294081,4.642910615,1.138519217,1
0.843902328,4.62176058,1.198257281,1
0.793644009,5.171205926,1.217945485,1
0.812667218,5.541876254,1.210960749,1
0.846872999,5.082328337,1.228241997,1
0.72879577,4.928542665,1.26223789,1
0.827668363,4.320073286,1.138885035,1
0.89547603,4.366049749,1.219476546,1
0.890068805,4.990957288,1.230884742,1
0.801617799,4.846208422,1.246237633,1
0.984191986,4.402811159,1.186405268,1
0.754374956,5.607195495,1.265702594,1
0.548818037,4.886558086,1.1050091,1
0.899874616,4.822885443,1.17252773,1
0.916754201,4.91745598,1.166147306,1
0.897531069,4.520121857,1.166097492,1
1.068336419,4.24784392,1.073354179,1
0.937451906,5.93063221,1.121984132,1
0.884688548,4.809935448,1.135853974,1
0.724650632,5.385050527,1.127570008,1
0.888787073,6.022902151,1.053801145,1
0.875602188,4.59103317,1.065269849,1
0.997164754,4.519763695,1.168360905,1
0.939899036,4.421175863,1.194658667,1
1.032236182,4.225097656,0.993607726,1
1.110333768,5.157271294,0.951111787,1
0.888052004,4.35159881,1.155951032,1
0.869372145,4.375542246,1.151768745,1
1.074546585,4.731661433,1.099798668,1
0.866232326,4.135708828,1.136829539,1
0.832992936,4.04632,1.133912649,1
0.892751253,4.375941303,1.075272678,1
0.791176007,4.32965066,1.119152001,1
0.934847927,4.509891526,1.114348217,1
